station,lines,2011,2012,2013,2014,2015,2016
104 St,A,523212,507774,516000,388144,538400,626547
104 St,J Z,782115,755193,779537,827890,841545,850903
111 St,7,3494533,3473313,3607926,3659225,3699843,3753756
111 St,A,798886,796622,795820,802831,767647,561857
111 St,J,805590,764882,780300,802275,812055,805255
121 St,J Z,694567,664855,688985,766469,788674,794687
169 St,F,2781001,2759602,2834112,2854274,2858542,2787763
21 St,G,364597,469173,422616,427353,533529,580065
21    St-Queensbridge,F,2707275,2654261,2631860,2683624,2884831,3009540
30 Av,N W,4340888,4622323,4776709,4808350,4745260,4694548
33 St-Rawson    St,7,3707015,3752701,3899003,3892589,3712153,3636632
36 Av,N W,2246477,2412794,2462645,2439630,2394564,2343925
36 St,M R,1238985,1257059,1278109,1307054,1339754,1355271
39 Av,N W,823763,930291,1012381,1104375,1072026,1016809
40 St-Lowery    St,7,3378636,3393418,3483507,3496675,3421569,3399567
46 St,M R,2964965,2978233,3014082,3021219,2956981,2904517
46 St-Bliss    St,7,4683092,4638262,4734334,4695672,4593351,4541003
52 St,7,2117202,2138307,2182725,2214115,2177884,2131770
63 Dr-Rego    Park,M R,4891415,4998378,5129203,5272014,5244226,5219811
65 St,M R,1098734,1131591,1124823,1159576,1192281,1183534
67 Av,M R,2791494,2770364,2818350,2851905,2853794,2807769
69 St,7,1649055,1647057,1671584,1685222,1629526,1643806
74-Bway    /Jackson Hts-Roosevelt Av,7 E F M R,16377496,16366669,16864938,17087795,17224537,17301839
75 Av,E F,1171380,1130707,1155836,1131705,1136305,1102600
75 St-Elderts    Ln,J Z,1128911,1107947,1138544,1172162,1196186,1187714
80 St,A,1283827,1294099,1310413,1507116,1465264,1098234
82 St-Jackson    Hts,7,5163208,5013810,5139172,5172595,5128506,5089971
85 St-Forest    Pkwy,J,1138842,1125639,1157863,1212661,1239793,1237770
88 St,A,805054,792615,808822,613296,1011163,952251
90    St-Elmhurst Av,7,5480782,5428872,5513135,5480059,5489630,5471961
Aqueduct    Racetrack,A,54183,0,213601,630644,672734,676971
Aqueduct-North    Conduit Av,A,474915,890505,698115,357399,365488,342494
Astoria Blvd,N W,3850546,3871213,3962838,3914637,3926062,3894399
Astoria-Ditmars    Blvd,N W,5203409,5233305,5405084,5416919,5407027,5429314
Beach 105 St,A S,80580,82088,48916,82980,99254,95469
Beach 25 St,A,501037,437602,267585,519843,570312,601116
Beach 36 St,A,192676,217880,143400,272799,296860,305816
Beach 44 St,A,225250,161946,91331,181758,197543,212440
Beach 60 St,A,555937,588970,406698,772376,801015,794595
Beach 67    St-Arverne By The Sea,A,681006,572418,357807,701784,799134,811248
Beach 90 St,A S,387012,305397,194416,306284,333006,335515
Beach 98 St,A S,198503,193332,100594,200197,214040,203795
Briarwood-Van    Wyck Blvd,E F,1730276,1563242,1427813,1427017,1479278,1515926
Broad Channel,A S,88837,75969,36849,74386,91766,91208
Broadway,N W,4007018,4161120,4325297,4407347,4300632,4189306
Court Sq,E G M 7,6334869,5340581,6072768,6664442,6730837,6809217
Elmhurst Av,M R,4338857,4344648,4343633,4362316,4350714,4268747
Far    Rockaway-Mott Av,A,1426835,1217871,806025,1486147,1576988,1572694
Flushing-Main    St,7,18967751,19034789,19102434,19085948,19082391,19257879
Forest Av,M,1172881,1134938,1179301,1235376,1317289,1316296
Forest    Hills-71 Av,E F M R,8316825,8342293,8573480,8585239,8654547,8581096
Fresh Pond Rd,M,1617252,1590304,1534754,1676862,1806429,1831889
Grand    Av-Newtown,M R,5721038,5741626,5832568,5861823,5995764,6057028
Howard    Beach-JFK Airport,A,928529,1074516,1626984,963503,1041816,1012067
Hunters Point    Av,7,1655252,1704114,1710103,1791109,1848769,1994002
Jamaica    Center-Parsons-Archer,E J Z,12147163,12204423,12507906,12784635,12622977,12470914
Jamaica-179    St,F,6818728,6767423,6868439,6818494,6898938,6783119
Jamaica-Van    Wyck,E,1527249,1552178,1565998,1587413,1545016,1536716
Junction Blvd,7,6963489,6784942,6816700,6946966,7064435,7249912
Kew    Gardens-Union Turnpike,E F,8179749,8296905,8609185,8363109,8354731,8109611
Mets-Willets    Point,7,1729243,1693024,1902121,1875472,2120859,2004343
